prediction;test_price
1207.04;1136.43
1188.47;1162.95
1184.15;1175.38
1182.49;1151.06
1191.97;1160.4
1182.48;1131.42
1176.75;1099.23
1163.16;1123.95
1162.74;1144.03
1154.98;1164.97
1160.01;1155.46
1156.53;1194.89
1156.03;1195.54
1157.03;1207.25
1184.63;1203.66
1192.49;1224.58
1195.62;1200.86
1189.66;1225.38
1186.71;1209.88
1188.55;1215.39
1183.34;1238.25
1188.92;1254.19
1196.32;1229.05
1210.36;1242.0
1218.42;1284.59
1217.18;1285.09
1228.35;1253.3
1242.72;1218.28
1238.75;1237.9
1238.65;1261.15
1236.79;1253.23
1235.9;1261.12
1241.33;1275.92
1243.28;1229.1
1251.41;1239.7
1242.36;1263.85
1249.26;1251.78
1255.37;1257.81
1264.98;1236.91
1257.07;1216.13
1263.14;1215.65
1245.03;1192.98
1245.26;1188.04
1239.31;1161.79
1237.62;1158.67
1230.73;1192.55
1218.79;1195.19
1218.47;1246.96
1209.63;1244.58
1218.31;1244.28
1217.01;1257.08
1232.71;1258.47
1232.5;1261.01
1250.26;1234.35
1255.48;1255.19
1251.95;1236.47
1244.75;1225.73
1236.19;1211.82
1240.82;1215.75
1225.02;1219.66
1218.54;1205.35
1212.41;1241.3
1218.33;1243.72
1211.82;1254.0
1220.09;1265.33
1225.31;1265.43
1225.13;1249.64
1220.15;1263.02
1219.68;1257.6
1225.39;1277.06
1231.41;1277.3
1247.36;1281.06
1237.33;1277.81
1247.68;1280.7
1250.85;1292.08
1268.48;1292.48
1274.01;1295.5
1277.18;1289.09
1267.52;1293.67
1270.83;1308.04
1272.05;1314.5
1277.55;1315.38
1287.67;1316.0
1294.52;1314.65
1293.65;1326.06
1307.41;1318.43
1316.04;1316.33
1317.89;1313.01
1318.24;1312.41
1314.71;1324.09
1334.24;1325.54
1342.62;1344.9
1354.95;1344.33
1351.39;1347.05
1351.16;1349.96
1353.04;1351.95
1344.28;1342.64
1342.21;1351.77
1356.38;1350.5
1352.81;1343.23
1366.1;1358.04
1366.19;1361.23
1356.26;1362.21
1352.45;1357.66
1344.57;1363.46
1357.46;1365.74
1364.35;1367.59
1362.48;1372.18
1361.67;1365.68
1365.08;1374.09
1350.45;1369.63
1358.31;1364.33
1366.11;1343.36
1365.51;1352.63
1364.14;1365.91
1357.55;1370.87
